slug,date,tag,headline,standfirst,body,author,image,player_slug,expires,use_player_photo,partner,partner_url,weight
report-2026-09-02-hartford-athletic-v-charleston-battery,2026-09-02,,Barry Coffey scores as Hartford Athletic beat Charleston Battery 2-1,"USL Championship: Barry Coffey (1 goal, rated 7.9).","Hartford Athletic beat Charleston Battery 2-1 in the USL Championship on Wednesday 02 September.

## The Irish on the pitch
- [Barry Coffey](/player/barry-coffey.html) scored 1, played 90 minutes, finished on a 7.9 match rating. That leaves the season at 6 goals and 1 assist in 17 appearances.",Jack Deane,,barry-coffey,2026-09-05T00:00,yes,,,77
report-2026-09-02-west-bromwich-albion-v-charlton-athletic,2026-09-02,,Jayson Molumby shines as West Bromwich Albion draw 1-1 with Charlton Athletic,Championship: Jayson Molumby (rated 7.5).,"West Bromwich Albion draw with Charlton Athletic 1-1 in the Championship on Wednesday 02 September.

## The Irish on the pitch
- [Jayson Molumby](/player/jayson-molumby.html) played 90 minutes, finished on a 7.5 match rating. That leaves the season at 0 goals and 0 assists in 4 appearances.",Jack Deane,,jayson-molumby,2026-09-05T00:00,yes,,,104
report-2026-09-02-celtic-v-aberdeen,2026-09-02,,Liam Scales shines as Celtic beat Aberdeen 3-0,Premiership: Liam Scales (rated 7.9).,"Celtic beat Aberdeen 3-0 in the Premiership on Wednesday 02 September.

## The Irish on the pitch
- [Liam Scales](/player/liam-scales.html) played 90 minutes, finished on a 7.9 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,liam-scales,2026-09-05T00:00,yes,,,96
report-2026-09-02-luton-town-v-stockport-county,2026-09-02,,Callum Marshall and Josh Keeley score as Luton Town beat Stockport County 2-0,"League One: Callum Marshall (1 goal, rated 7.3); Josh Keeley (rated 7.7).","Luton Town beat Stockport County 2-0 in the League One on Wednesday 02 September.

## The Irish on the pitch
- [Callum Marshall](/player/callum-marshall.html) scored 1, played 25 minutes, finished on a 7.3 match rating. That leaves the season at 2 goals and 0 assists in 4 appearances.
- [Josh Keeley](/player/josh-keeley.html) played 90 minutes, finished on a 7.7 match rating. That leaves the season at 0 goals and 0 assists in 4 appearances.",Jack Deane,,callum-marshall,2026-09-05T00:00,yes,,,95
report-2026-09-02-motherwell-v-dundee-united,2026-09-02,,Joe Hodge shines as Motherwell beat Dundee United 3-0,Premiership: Joe Hodge (rated 8.3).,"Motherwell beat Dundee United 3-0 in the Premiership on Wednesday 02 September.

## The Irish on the pitch
- [Joe Hodge](/player/joe-hodge.html) played 90 minutes, finished on a 8.3 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,joe-hodge,2026-09-05T00:00,yes,,,93
report-2026-09-02-queens-park-rangers-v-cardiff-city,2026-09-02,,Harvey Vale and Jimmy Dunne shine as Queens Park Rangers beat Cardiff City 2-1,Championship: Harvey Vale (rated 7.8); Jimmy Dunne (rated 7.7).,"Queens Park Rangers beat Cardiff City 2-1 in the Championship on Wednesday 02 September.

## The Irish on the pitch
- [Harvey Vale](/player/harvey-vale.html) played 90 minutes, finished on a 7.8 match rating. That leaves the season at 0 goals and 1 assist in 3 appearances.
- [Jimmy Dunne](/player/jimmy-dunne.html) played 90 minutes, finished on a 7.7 match rating. That leaves the season at 1 goal and 0 assists in 4 appearances.",Jack Deane,,harvey-vale,2026-09-05T00:00,yes,,,85
report-2026-09-02-barnsley-v-blackpool,2026-09-02,,Connor O'Riordan shines as Barnsley beat Blackpool 2-1,League One: Connor O'Riordan (rated 8.0).,"Barnsley beat Blackpool 2-1 in the League One on Wednesday 02 September.

## The Irish on the pitch
- [Connor O'Riordan](/player/connor-oriordan.html) played 90 minutes, finished on a 8.0 match rating. That leaves the season at 0 goals and 0 assists in 2 appearances.",Jack Deane,,connor-oriordan,2026-09-05T00:00,yes,,,63
report-2026-09-02-levski-sofia-v-slavia-sofia,2026-09-02,,Armstrong Oko-Flex scores as Levski Sofia beat Slavia Sofia 2-1,First Professional League: Armstrong Oko-Flex (1 goal).,"Levski Sofia beat Slavia Sofia 2-1 in the First Professional League on Wednesday 02 September.

## The Irish on the pitch
- [Armstrong Oko-Flex](/player/armstrong-oko-flex.html) scored 1, played 23 minutes. That leaves the season at 3 goals and 1 assist in 6 appearances.",Jack Deane,,armstrong-oko-flex,2026-09-05T00:00,yes,,,55
report-2026-09-01-swansea-city-v-watford,2026-09-01,,Adam Idah scores as Swansea City beat Watford 2-0,"Championship: Adam Idah (1 goal, 1 assist, rated 8.6).","Swansea City beat Watford 2-0 in the Championship on Tuesday 01 September.

## The Irish on the pitch
- [Adam Idah](/player/adam-idah.html) scored 1, set up 1, played 67 minutes, finished on a 8.6 match rating. That leaves the season at 2 goals and 1 assist in 4 appearances.",Jack Deane,,adam-idah,2026-09-04T00:00,yes,,,166
report-2026-09-01-leyton-orient-v-bromley,2026-09-01,,Jaze Kabia hits two as Leyton Orient beat Bromley 5-0,"League One: Jaze Kabia (2 goals, rated 9.0).","Leyton Orient beat Bromley 5-0 in the League One on Tuesday 01 September.

## The Irish on the pitch
- [Jaze Kabia](/player/jaze-kabia.html) scored 2, played 80 minutes, finished on a 9.0 match rating. That leaves the season at 2 goals and 2 assists in 4 appearances.",Jack Deane,,jaze-kabia,2026-09-04T00:00,yes,,,143
