match_id,minute,type,player,team,venue
2026-08-20-gent-v-hibernian,15,missed_penalty,Owen Elding,Hibernian,Planet Group Arena
2026-08-20-gent-v-hibernian,60,yellow,Josh Campbell,Hibernian,Planet Group Arena
2026-08-20-gent-v-hibernian,80,yellow,Jordan Obita,Hibernian,Planet Group Arena
2026-08-20-gent-v-hibernian,81,yellow,Jamie McGrath,Hibernian,Planet Group Arena
2026-08-20-gent-v-hibernian,83,yellow,Tiago Araújo,Gent,Planet Group Arena
2026-08-20-gent-v-hibernian,89,yellow,Adam Mayor,Hibernian,Planet Group Arena
2026-08-20-gent-v-hibernian,90,yellow,Martin Boyle,Hibernian,Planet Group Arena
2026-08-20-heart-of-midlothian-v-rapid-wien,30,goal,Serge Raux Yao,Rapid Wien,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,51,yellow,Pierre Landry Kaboré,Heart of Midlothian,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,56,own_goal,Serge Raux Yao,Heart of Midlothian,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,62,goal,James Wilson,Heart of Midlothian,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,66,yellow,Petter Nosakhare Dahl,Rapid Wien,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,79,goal,Nikolaus Wurmbrand,Rapid Wien,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,87,yellow,Romeo Amané,Rapid Wien,Tynecastle Park
2026-08-20-heart-of-midlothian-v-rapid-wien,90,yellow,Nicolas Bajlicz,Rapid Wien,Tynecastle Park
2026-08-20-lincoln-red-imps-fc-v-larne,20,yellow,Manu Toledano,Lincoln Red Imps FC,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,27,red,Yussef Flalhi Idrissi,Lincoln Red Imps FC,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,27,yellow,Sean Graham,Larne,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,43,yellow,Matthew Lusty,Larne,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,57,yellow,Montel Gibson,Larne,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,72,yellow,Graeme Torrilla,Lincoln Red Imps FC,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,73,yellow,Jordan McEneff,Larne,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,85,goal,Paul O'Neill,Larne,Europa Point Stadium
2026-08-20-lincoln-red-imps-fc-v-larne,90,goal,Kevin O'Hara,Larne,Europa Point Stadium
2026-08-20-motherwell-v-freiburg,2,goal,Regan Charles-Cook,Motherwell,Fir Park
2026-08-20-motherwell-v-freiburg,21,yellow,Joe Hodge,Motherwell,Fir Park
2026-08-20-motherwell-v-freiburg,28,goal,Matthias Ginter,Freiburg,Fir Park
2026-08-20-motherwell-v-freiburg,39,yellow,Lukas Fadinger,Motherwell,Fir Park
2026-08-20-motherwell-v-freiburg,59,yellow,Jan-Niklas Beste,Freiburg,Fir Park
2026-08-20-motherwell-v-freiburg,65,goal,Matthias Ginter,Freiburg,Fir Park
2026-08-20-motherwell-v-freiburg,65,red,Martin Moormann,Motherwell,Fir Park
2026-08-20-motherwell-v-freiburg,68,yellow,Alex Lowry,Motherwell,Fir Park
2026-08-20-motherwell-v-freiburg,90,goal,Keisuke Goto,Freiburg,Fir Park
2026-08-20-shamrock-rovers-v-kups,50,goal,Enda Stevens,Shamrock Rovers,Tallaght Stadium
2026-08-20-shamrock-rovers-v-kups,69,yellow,Saikou Touray,KuPS,Tallaght Stadium
2026-08-20-shamrock-rovers-v-kups,85,goal,Piotr Parzyszek,KuPS,Tallaght Stadium
2026-08-20-shamrock-rovers-v-kups,90,yellow,Tommi Jyry,KuPS,Tallaght Stadium
