slug,league,club,club_id,age,born,foot,senior_caps,senior_goals,senior_debut,youth,season,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,avg_rating,source
aaron-bolger,Premier Division,Galway United FC,520517,26,,Right,,,,U19:7:0:2017; U17:9:0:2016,2026,25,24,3,2,2061,3,0,215,6,5,7.07,auto
aaron-brennan,Premier Division,Waterford FC,6042,2025,,,,,,,,,,,,,,,,,,,auto
aaron-greene,Premier Division,Shamrock Rovers,4131,36,,Both,,,,U21:2:0:2011,2026,26,11,4,0,1030,3,0,572,126,6,6.45,auto
aaron-keogh,Premier Division,Dundalk,1853,18,,,,,,,2026,1,0,0,0,5,0,0,3,1,0,,auto
aaron-mccarey,Premiership,Portadown,7984,34,,Right,,,2013,U21:6:0:2011; U19:10:0:2010,,,,,,,,,300,0,0,,auto
aaron-molloy,USL Championship,Lexington SC,1430405,29,,,,,,,2026,21,21,4,5,1890,4,0,227,27,40,7.61,auto
adam-banim,Premier Division,St. Patrick's Athletic,1854,20,,,,,,,,,,,,,,,,,,,auto
adam-brennan,Premier Division,Shamrock Rovers,4131,19,,,1,0,2026,U21:::2026; U19:3:1:2025,2026,21,14,3,4,1345,5,0,72,13,5,6.93,auto
adam-deans,Premier Division,St. Patrick's Athletic,1854,20,,,,,,,,,,,,,,,1,0,0,,auto
adam-mcdonnell,Premier Division,Bohemian FC,4594,29,,Right,,,,U19:2:0:2014; U17:3:1:2014,2026,21,8,1,0,767,2,1,309,23,6,6.47,auto
adam-ohalloran,Premier Division,Galway United FC,520517,19,,,,,,,,,,,,,,,,,,,auto
ademipo-odubeko,Premier Division,Shelbourne,5751,23,,Right,,,,U21:4:1:2022,2026,6,3,1,1,292,0,0,123,20,6,6.74,auto
ahu-obhakhan,Premiership,Portadown,7984,29,,,,,,,,,,,,,,,,,,,auto
aidan-gabbidon,Premier Division,Sligo Rovers,6361,17,,,,,,U17:3:1:2025,,,,,,,,,,,,,auto
aidan-keena,Premier Division,St. Patrick's Athletic,1854,27,,Right,,,,U21:2:0:2019; U17:2:0:2015,2026,23,13,6,4,1045,0,0,270,77,13,6.90,auto
ajibola-oluwabiyi,First Division,Wexford FC,62337,2025,,,,,,,,,,,,,,,,,,,auto
alan-reynolds,Premier Division,Bohemian FC,4594,52,,,,,,,2026/27,4,,0,0,360,,,,,,,auto
alan-zborowski,First Division,Cobh Ramblers,2383,18,,,,,,,2026,5,5,0,0,385,0,0,6,0,0,6.58,auto
alex-nolan,Premier Division,Sligo Rovers,6361,23,,,,,,,2026,21,13,2,1,1235,2,0,146,12,3,6.35,auto
alex-noonan,Premier Division,Shamrock Rovers,4131,18,,,,,,U18:3:0:2026; U17:10:0:2024,2026,2,,,,56,0,0,1,0,0,,auto
andrew-moran,Championship,Preston North End,8411,22,,Right,4,0,2023,U21:11:3:2021; U19:5:1:2021; U17:2:0:2019,2026/27,2,,0,0,91,,,109,11,17,6.80,auto
andrew-quinn,Premier Division,Drogheda United,8339,24,,,,,,U21:::2021,2026,20,17,0,1,1484,0,0,166,7,5,6.66,auto
anthony-breslin,Premier Division,St. Patrick's Athletic,1854,29,,,,,,U19:::2015; U17:6:0:2013,2026,23,5,1,0,719,1,0,247,6,10,6.47,auto
anthony-oconnor,Premier Division,Galway United FC,520517,33,,Right,,,,U21:5:0:2013; U19:7:2:2010,2026,1,1,0,1,90,0,0,596,33,16,7.86,auto
aodh-dervin,Premier Division,Dundalk,1853,27,,,,,,,2026,25,21,1,2,1790,7,1,270,11,4,6.88,auto
arlo-doherty,Premier Division,Waterford FC,6042,22,,,,,,U19:2:0:2021,2026,7,,,,630,0,0,9,0,0,6.83,auto
armstrong-oko-flex,First Professional League,Levski Sofia,8632,24,,Right,,,,U21:4:4:2021; U19:3:0:2019; U17:3:0:2018,2026/27,5,3,3,1,228,2,0,99,17,1,,auto
ben-mahon,Premier Division,Shamrock Rovers,4131,17,,,,,,U17:4:3:2025,2026,2,0,0,0,24,0,0,6,0,0,5.74,auto
ben-mccormack,First Division,Bray Wanderers,1629,23,,Right,,,,U17:3:2:2019,2025,12,2,0,0,227,1,0,152,17,9,6.47,auto
billy-canny,Premier Division,St. Patrick's Athletic,1854,18,,,,,,U17:6:1:2024,2026,1,0,0,0,5,0,0,1,0,0,,auto
billy-hayes,Premier Division,St. Patrick's Athletic,1854,18,,,,,,U17:6:0:2024,,,,,,,,,1,0,0,,auto
billy-oneill,First Division,Bray Wanderers,1629,18,,,,,,U18:::2026; U17:3:0:2024,,,,,,,,,57,12,0,,auto
billy-regan,First Division,Treaty United,1233534,18,,,,,,,,,,,,,,,1,0,0,,auto
bobby-keohan,Premier Division,Waterford FC,6042,2025,,,,,,,,,,,,,,,,,,,auto
brandon-kavanagh,Premier Division,Drogheda United,8339,25,,,,,,U21:1:0:2019; U19:4:0:2019; U17:5:0:2016,2026,27,25,2,5,2034,4,0,264,37,32,6.97,auto
