slug,date,season,from_club,to_club,fee,market_value,kind
aaron-bolger,2025-07-03,25/26,St. Pat's,Galway United,free transfer,€100k,free
aaron-bolger,2025-06-30,24/25,Ebbsfleet,St. Pat's,End of loan,€100k,loan end
aaron-bolger,2025-02-04,24/25,St. Pat's,Ebbsfleet,loan transfer,€100k,loan
aaron-bolger,2024-01-01,23/24,Cork City,St. Pat's,free transfer,€100k,free
aaron-bolger,2021-07-29,21/22,Cardiff City U23,Cork City,free transfer,€150k,free
aaron-bolger,2021-06-30,20/21,Longford Town,Cardiff City U23,End of loan,€150k,loan end
aaron-bolger,2021-01-30,20/21,Cardiff City U23,Longford Town,loan transfer,€150k,loan
aaron-bolger,2020-12-31,20/21,Shamrock Rovers,Cardiff City U23,End of loan,€150k,loan end
aaron-bolger,2020-08-01,20/21,Cardiff City U23,Shamrock Rovers,loan transfer,€150k,loan
aaron-bolger,2019-07-01,19/20,Shamrock Rovers,Cardiff City U23,?,-,
aaron-bolger,2019-05-31,18/19,Cardiff City U23,Shamrock Rovers,End of loan,-,loan end
aaron-bolger,2019-02-04,18/19,Shamrock Rovers,Cardiff City U23,loan transfer,-,loan
aaron-bolger,2016-07-01,16/17,St. Josephs Boys,Shamrock Rovers,free transfer,-,free
aaron-brennan,2026-08-14,26/27,WFC Academy,Waterford FC,-,-,
aaron-connolly,2025-07-07,25/26,Millwall,Leyton Orient,free transfer,€2.20m,free
aaron-connolly,2025-01-16,24/25,Sunderland,Millwall,free transfer,€2.50m,free
aaron-connolly,2024-09-24,24/25,Without Club,Sunderland,-,€2.50m,
aaron-connolly,2024-07-01,24/25,Hull City,Without Club,-,€2.50m,
aaron-connolly,2023-08-02,23/24,Brighton,Hull City,€1.35m,€4.00m,fee
aaron-connolly,2023-05-31,22/23,Hull City,Brighton,End of loan,€5.00m,loan end
aaron-connolly,2023-01-06,22/23,Brighton,Hull City,loan transfer,€5.00m,loan
aaron-connolly,2023-01-05,22/23,Venezia,Brighton,End of loan,€5.00m,loan end
aaron-connolly,2022-07-14,22/23,Brighton,Venezia,loan transfer,€6.00m,loan
aaron-connolly,2022-05-31,21/22,Middlesbrough,Brighton,End of loan,€6.00m,loan end
aaron-connolly,2022-01-02,21/22,Brighton,Middlesbrough,loan transfer,€7.00m,loan
aaron-connolly,2019-07-01,19/20,Brighton U23,Brighton,-,-,
aaron-connolly,2019-05-31,18/19,Luton,Brighton U23,End of loan,-,loan end
aaron-connolly,2019-01-31,18/19,Brighton U23,Luton,loan transfer,-,loan
aaron-connolly,2018-01-01,17/18,Brighton U18,Brighton U23,-,-,
aaron-connolly,2016-07-01,16/17,Mervue Academy,Brighton U18,?,-,
aaron-drinan,2024-02-01,23/24,Leyton Orient,Swindon Town,?,€175k,
aaron-drinan,2021-07-01,21/22,Ipswich,Leyton Orient,?,€100k,
aaron-drinan,2020-05-31,19/20,Ayr United,Ipswich,End of loan,€100k,loan end
aaron-drinan,2020-01-17,19/20,Ipswich,Ayr United,loan transfer,€100k,loan
aaron-drinan,2019-11-30,19/20,GAIS,Ipswich,End of loan,€100k,loan end
aaron-drinan,2019-08-08,19/20,Ipswich,GAIS,loan transfer,€100k,loan
aaron-drinan,2019-06-30,18/19,Waterford FC,Ipswich,End of loan,€100k,loan end
aaron-drinan,2019-02-13,18/19,Ipswich,Waterford FC,loan transfer,€100k,loan
aaron-drinan,2018-11-26,18/19,Sutton Utd,Ipswich,End of loan,€100k,loan end
aaron-drinan,2018-08-01,18/19,Ipswich,Sutton Utd,loan transfer,€100k,loan
aaron-drinan,2018-01-04,17/18,Waterford FC,Ipswich,€100k,-,fee
aaron-drinan,2017-07-31,17/18,Cork Academy,Waterford FC,free transfer,-,free
aaron-greene,2018-07-07,18/19,Bray Wanderers,Shamrock Rovers,free transfer,€50k,free
aaron-greene,2017-01-01,16/17,Limerick FC,Bray Wanderers,free transfer,€50k,free
aaron-greene,2016-02-19,15/16,St. Pat's,Limerick FC,free transfer,€50k,free
aaron-greene,2014-07-31,14/15,Sligo Rovers,St. Pat's,free transfer,€50k,free
aaron-greene,2013-01-01,12/13,Shamrock Rovers,Sligo Rovers,free transfer,€50k,free
aaron-greene,2012-01-01,11/12,Sligo Rovers,Shamrock Rovers,free transfer,€50k,free
aaron-greene,2011-01-01,10/11,Bohemians,Sligo Rovers,free transfer,€50k,free
aaron-greene,2009-11-30,09/10,Galway United,Bohemians,End of loan,-,loan end
aaron-greene,2009-08-11,09/10,Bohs Academy,Galway United,loan transfer,-,loan
aaron-heaney,2026-07-17,26/27,HW Welders,Newington,free transfer,-,free
aaron-heaney,2025-09-01,25/26,Derry City,HW Welders,?,-,
aaron-heaney,2025-05-31,24/25,Glenavon,Derry City,End of loan,€25k,loan end
aaron-heaney,2025-01-30,24/25,Derry City,Glenavon,loan transfer,-,loan
aaron-heaney,2024-08-09,24/25,Derry Academy,Derry City,-,-,
aaron-heaney,2023-01-01,22/23,Sligo Academy,Derry Academy,free transfer,-,free
aaron-keogh,2026-01-01,25/26,Shels Academy,Dundalk FC,free transfer,-,free
aaron-maguire,2026-06-30,25/26,Hampton & Rich.,Tottenham U21,End of loan,-,loan end
aaron-maguire,2026-02-02,25/26,Tottenham U21,Hampton & Rich.,loan transfer,-,loan
aaron-maguire,2022-07-01,22/23,Spurs U18,Tottenham U21,-,-,
aaron-maguire,2020-07-01,20/21,Tottenham Yth.,Spurs U18,-,-,
aaron-mccarey,2024-07-01,24/25,Glentoran,Portadown,free transfer,€250k,free
aaron-mccarey,2021-07-27,21/22,Cliftonville,Glentoran,?,€175k,
aaron-mccarey,2021-01-01,20/21,Dundalk FC,Cliftonville,free transfer,€175k,free
aaron-mccarey,2019-01-01,18/19,Warrenpoint,Dundalk FC,free transfer,€175k,free
aaron-mccarey,2018-09-03,18/19,Without Club,Warrenpoint,-,€175k,
aaron-mccarey,2018-07-01,18/19,Ross County,Without Club,-,€175k,
aaron-mccarey,2016-07-01,16/17,Wolves,Ross County,free transfer,€100k,free
aaron-mccarey,2015-11-24,15/16,Bury,Wolves,End of loan,€100k,loan end
aaron-mccarey,2015-10-24,15/16,Wolves,Bury,loan transfer,€100k,loan
aaron-mccarey,2015-10-23,15/16,Portsmouth,Wolves,End of loan,€100k,loan end
aaron-mccarey,2015-09-23,15/16,Wolves,Portsmouth,loan transfer,€100k,loan
aaron-mccarey,2014-01-01,13/14,York City,Wolves,End of loan,€100k,loan end
aaron-mccarey,2013-11-29,13/14,Wolves,York City,loan transfer,€100k,loan
aaron-mccarey,2013-03-16,12/13,Walsall,Wolves,End of loan,-,loan end
aaron-mccarey,2013-02-21,12/13,Wolves,Walsall,loan transfer,-,loan
aaron-mccarey,2013-01-13,12/13,Walsall,Wolves,End of loan,-,loan end
aaron-mccarey,2012-11-16,12/13,Wolves,Walsall,loan transfer,-,loan
aaron-mccarey,2010-01-01,09/10,Monaghan United,Wolves,free transfer,-,free
aaron-mccarey,2009-07-01,09/10,Mons Academy,Monaghan United,-,-,
aaron-mceneff,2026-01-25,25/26,Shamrock Rovers,Glentoran,?,€300k,
aaron-mceneff,2025-01-01,24/25,Perth Glory,Shamrock Rovers,?,€300k,
aaron-mceneff,2024-12-31,24/25,Shamrock Rovers,Perth Glory,End of loan,€300k,loan end
aaron-mceneff,2024-01-19,23/24,Perth Glory,Shamrock Rovers,loan transfer,€350k,loan
aaron-mceneff,2022-07-18,22/23,Heart of Midl.,Perth Glory,?,€400k,
aaron-mceneff,2021-02-01,20/21,Shamrock Rovers,Heart of Midl.,€200k,€200k,fee
aaron-mceneff,2019-01-01,18/19,Derry City,Shamrock Rovers,free transfer,-,free
aaron-mceneff,2015-07-30,15/16,Tottenham U21,Derry City,free transfer,-,free
aaron-mceneff,2013-07-01,13/14,Spurs U18,Tottenham U21,-,-,
aaron-mceneff,2012-07-01,12/13,Institute U18,Spurs U18,?,-,
aaron-molloy,2025-12-18,25/26,Charleston,Lexington SC,€85k,€350k,fee
aaron-molloy,2023-12-04,23/24,Memphis 901,Charleston,free transfer,€350k,free
aaron-molloy,2022-01-11,21/22,Forward Madison,Memphis 901,?,€200k,
aaron-molloy,2021-02-17,20/21,Portland 2,Forward Madison,free transfer,-,free
aaron-molloy,2020-03-05,19/20,Without Club,Portland 2,-,-,
aaron-molloy,2020-02-01,19/20,Portland,Without Club,-,-,
aaron-molloy,2020-01-09,19/20,Penn State,Portland,draft,-,fee
aaron-molloy,2019-08-01,19/20,Reading United,Penn State,End of loan,-,loan end
