slug,date,tag,headline,standfirst,body,author,image,player_slug,expires,use_player_photo,partner,partner_url
shamrock-rovers-rory-gaffney-retires-from-professional-football-at-36,2026-09-03,LEAGUE OF IRELAND,Shamrock Rovers’ Rory Gaffney Retires from Professional Football at 36,Shamrock Rovers striker Rory Gaffney has announced his retirement from football after suffering a season full of injury.,"Rory Gaffney’s last domestic appearance came in last year’s FAI Cup final where he scored a brace to win Rovers the double for the first time in almost 40 years.\n\nHe ends his career with five league titles in six years and scored 37 league goals at the Hoops in 143 games, followed by many European ties with his last appearance for the club being a UEFA Conference League match in December where the Hoops lost 3-1 against Hamrun Spartans to end their European campaign. Gaffney sits fifth in the all-time list of League of Ireland goalscorers in European competitions with eight goals.\n\nBefore this season began, Gaffney underwent procedures on his Achilles abroad but due to an infection, his recovery was interrupted resulting in him not being able to return to match fitness for the new season.\n\nRory Gaffney had spells abroad before coming back to Ireland to play for Rovers where he played with Cambridge United, Bristol Rovers, Salford City, and Walsall.",Jack Deane,,rory-gaffney,,,,
sam-curtis-cambridge,2026-09-01,TRANSFER,Sam Curtis signs for Cambridge United on a season long loan,The 20 year old was on loan at Chesterfield last season.,"Sam Curtis has signed for Cambridge United on a season long loan. \n\nThe Ireland U21 international will join the League One side for the season ahead, linking up with fellow Irishman Cathal Heffernan.\n\nIt’s an important next step in Curtis’ development after spending the second half of last season on loan with Chesterfield in League Two.",Jack Deane,,sam-curtis,,,,
celtic-striker-johnny-kenny-on-brink-of-3m-exit-as-he-makes-way-for-new-signing,2026-09-01,TRANSFER,Celtic striker Johnny Kenny on brink of £3m exit as he makes way for new signing,The 23 year old spent the second of last season on loan at Bolton Wanderers.,"Bolton,West Brom and Blackburn Rovers had all shown interest in the 23-year-old.\n\nBut Preston have made a big push on England’s deadline day and are now favourites to land him.",Jack Deane,,johnny-kenny,,,,
loi-roundup-2,2026-09-01,LEAGUE OF IRELAND,LOI Roundup:,"Lilywhites earn huge derby spoils, Pats slip up in title chase & Cork edge closer to First Division glory.","With the final round of fixtures only around the corner, there was twists and turns aplenty over the weekend in both divisions of the League of Ireland.\n\nThe Premier Division didn’t see any movement across the league table come the end of the weekend but it wasn’t without its dramatics.\n\nThe Louth derby didn’t disappoint as usual. With both teams under a poor run of form and a desperation for three points for contrasting reasons heading into the fixture, it was the experience and quality of the Lilywhites skipper Daryl Horgan that earned the bragging rights for Dundalk as he fired in a 90th minute strike from a free kick which earned his side all three points as it finished 3-2. It’s a huge booster for the Lilywhites as they travel to take on Derry City in the quarter final of the FAI Cup on Sunday, while Drogheda entertain Galway United on Friday in hopes of recreating their cup success from two years ago.\n\nLeague leaders Shamrock Rovers travelled to the Brandywell and quickly found themselves two goals down on two occasions inside the first half as a rejuvenated Ellis Chapman bagged a brace for the Candystripes. But with their character questioned in recent weeks due to their European qualification nightmare, the strength in depth told for the champions as inspired substitutions in Will Fitzgerald Dylan Watts salvaged a point late on with the final score at three apiece. They face Shelbourne in the only Premier Division tie of the weekend on Friday looking strengthen their grip on top spot.\n\nLooking to put the pressure on at the top of the table was both St. Patrick’s Athletic and Bohemians. However, the Inchicore side came to a roadblock in the form of Graham Coughlan’s Waterford who ran out 2-0 victors away from home, extending their unbeaten run to 10 games in all competitions. For Bohs however, they heaped more misery onto a Sligo Rovers side bottom of the table as a first half rout seen them ease to a 3-0 win in the fourth last game at Dalymount Park while leaving them just five points off top spot come the end of the weekend. Both Pats and Bohs will do battle at Richmond Park on Saturday in the tie of the round of the cup, while Waterford and Sligo will play out an interesting affair at the RSC.\n\nThe clash in mid-table between Galway United and Shelbourne also provided entertainment as a last gasp strike by the veteran Jimmy Keohane cancelled out Daniel Kelly’s effort to ensure the spoils were shared and leave John Russell still in search of his first domestic win as Shels boss.\n\nIn the First Division, Cork City edged ever closer to being crowned champions with a routine 2-0 victory over Wexford at Turners Cross, leaving them in the knowledge that a win next week away Bray Wanderers, who suffered defeat at Athlone Town, will see them officially out of reach.\n\nElsewhere, UCD played out a game of the season contender with Finn Harps as they ran out 5-4 winners at Belfield, setting up an interesting contest with Cobh Ramblers next weekend who also remain in the playoff picture following a 2-2 draw with Longford Town.\n\nThe midlands side host Kerry FC on Saturday with the Kingdom only two point of the playoff spots themselves after claiming Munster derby bragging rights over Treaty United with a 3-1 win.",Ben Dorgan,,,,,,
transferdeadline2026,2026-08-31,TRANSFER,Deadline Day,Transfer Rumours and Done Deals,"With the transfer window set to close in the next hour around Europe, here are some rumoured transfers and done deals from the last 24 hours:\n\n**•** Stoke want Tom Cannon (Sheffield Utd) — short of £10m valuation (Nixon)\n **•** Leicester: six-figure bid for Warren O’Hora (Hibernian) (Holland) **•** St Mirren expect £500k+ bids for Killian Phillips in 24 hours — Serie B, Spain, USA, Japan (Scottish Sun)\n **•** Derby move for Eiran Cashin (Brighton), permanent (Nixon)\n **•** Preston advancing on Alan Browne (Sunderland) (O’Rourke)\n **•** Lincoln closing on Chiedozie Ogbene (Ipswich), loan (O’Rourke)\n**•** Championship clubs eyeing Alex Gilbert, free (O’Rourke)\n **DONE DEALS** \n**•** Jayden Marshall, 16 — Shamrock Rovers → Como \n**•** Kian McMahon-Brown, 18 — Burnley → Shrewsbury (loan)\n **•** Rhys Brennan, 20 — Bohemians → Linfield (loan)",Jack Deane,,,2026-08-01T00:42,,,
kian-mcmahon-brown,2026-08-31,TRANSFER,Kian McMahon-Brown signs for Shrewsbury Town on loan.,The Ireland underage start will return to Burnley at the end of the season.,"![](img/articles/kian-mcmahon-brown/images-1-30da40.jpg)\n\n\nKian McMahon-Brown is set for his first taste of senior football after joining Shrewsbury Town on a season-long loan from Burnley.\n\nThe Ireland underage international put pen to a new deal at Turf Moor earlier this summer, and the Clarets have now sanctioned a move to League Two so the young attacker can start racking up men's football minutes.\n\nMcMahon-Brown has been among the standout performers in Ireland's underage ranks over the last couple of years, and his form was rewarded with a run in Burnley's first-team squad during pre-season.\n\nHe offers plenty of tactical flexibility too. Comfortable leading the line as an out-and-out No.9, he can just as easily play as a false nine or a No.10, and he has the game to drop into midfield when a side needs it.\n\nA regular senior environment looks like exactly the right move at this stage of his development, giving him a proper platform to prove what he's capable of.",Jack Deane,,Kian-McMahon-Brown,2026-09-01T17:21,,,
jacob-devaney-shines-on-hibernian-debut,2026-08-31,ABROAD,Jacob Devaney shines on Hibernian debut,The Manchester United and Ireland midfielder has started his second professional loan spell ,"![](img/articles/jacob-devaney-shines-on-hibernian-debut/jacob-devaney-scaled-9dcc47.webp)\n\n\nJacob Devaney was so good at St Mirren last season that going back to Manchester United's academy football was never really an option this year, so another loan was always the plan.\n\nHe's now joined Hibernian on loan for the 2026/27 season, off the back of an eye-catching pre-season with United.\n\nHe's due back next summer, having signed a new contract before going out on loan, at which point he'll be assessed for a possible first-team role at Old Trafford.\n\nThis weekend gave him about as good a start as he could have hoped for at Hibs, and United will be pleased with what they saw.\n\n### **How Jacob Devaney got on for his Hibernian debut**\n\nDevaney started for Hibs in a 2-1 win over Dundee, and the way he played suggests he won't be out of the side for a while.\n\nThe 19-year-old settled in straight away and dominated the midfield, looking a cut above everyone else on the pitch.\n\n- 81 minutes\n- 75 touches\n- 67/71 passes completed (94%)\n- 2 key passes\n- 3 defensive contributions\n- 1 tackle won\n- 3/5 duels won\n- 4 recoveries\n\nYou could see just how much Hibs needed him on the pitch — a minute after he was substituted in the 81st, Dundee pulled a goal back.\n\nThe Irish youth international is off to a flyer, and if he keeps this level up over a full season, he'll have a real chance of forcing his way into Michael Carrick's first-team plans.\n\nFailing that, a Premier League loan looks almost inevitable if he keeps making the Scottish Premiership look this easy, just as he did at St Mirren.\n\n### **Devaney will be a big talking point for United next summer**\n\nThere's no doubting Devaney's quality, and by the time he's back at United next summer, there'll be plenty of noise around him.\n\nCarrick will want to weigh up where he fits into the squad, but if regular minutes aren't on offer, he'll be a wanted man elsewhere.\n\nHe already had interest from clubs across Europe this summer, and that's only going to grow if this season goes the way it looks like it will.\n\nA £20-30 million price tag next summer wouldn't be a shock — not that United should be selling — but it shows just how highly rated he is, and why this season could turn Devaney into a genuine star.\n\nDefinitely one to keep tabs on as the season goes on.",Jack Deane,,jacob-devaney,2026-09-01T23:26,,,
grow-your-own-why-loi-clubs-must-back-the-academy,2026-08-31,LEAGUE OF IRELAND,Grow Your Own: Why LOI Clubs Must Back The Academy,"The League of Ireland is finally making serious money from young players. If that’s where the game is heading, why aren’t more clubs spending now to produce the next Mason Melia?","![](img/articles/grow-your-own-why-loi-clubs-must-back-the-academy/51832bfd-4663-4304-9add-35d4d6b9bd40-120-ed9765.webp)\n\nThere was a time when a League of Ireland club getting six figures for a player felt like very good business.\n\nSéamus Coleman left Sligo Rovers for Everton for a relatively modest reported fee. Dawson Devoy went from Bohemians to MK Dons for around £150,000. Eoin Toal left Derry City for Bolton for a similar sort of figure. Good deals, certainly, but rarely the sort that allowed a board to suddenly start thinking three or four years ahead.Then Mason Melia happened.\n\nSt Patrick’s Athletic agreed a deal worth around €1.8 million upfront for the teenager to join Tottenham. Shamrock Rovers then went higher again, agreeing a guaranteed fee of roughly €2 million for Victor Ozhianvuna to join Arsenal.\n\nTheir deals could reportedly climb beyond €4 million each through add-ons, while sell-on clauses give their clubs the chance to earn again later.\n\nThe two biggest transfers in League of Ireland history have one fairly important thing in common.\n\nNeither club bought the player.\n\nThey developed him.\n\nAnd the conversation around young League of Ireland players has changed with it.\n\nIt’s no longer just: **“How long do you reckon we keep him?”**\n\nSomeone normally has another question now. **“How much would you take?”**\n\nThat’s a much better problem to have.\n\nBut it also leaves Irish clubs with a fairly obvious question. **If academy graduates are becoming one of the best ways of making real money in this league, why aren’t we spending more now to produce the next one?**\n\n## **You Have To Plant Something First**\n\n\n![](img/articles/grow-your-own-why-loi-clubs-must-back-the-academy/6281a6bf-e4cd-409a-968a-862b1cf1f4a9-256-0d1c58.webp)\n\nAcademies aren’t free.\n\nThere are coaches, pitches, physios, gym programmes, analysts, transport and education to pay for. Not every teenager becomes a first-team player either. Plenty won’t get close.\n\nBut the economics are completely different to senior recruitment.\n\nSpend €80,000 on an established player and you’re investing in one player. Spend that money improving academy coaching, facilities or contact hours and you’re potentially improving 20.\n\nIt’s a bit like planting an apple seed.\n\nYou don’t put one in the ground on Tuesday and start complaining on Friday because there’s no apple waiting for you. You give it time and, if you do it properly, eventually you’ve got a tree producing plenty of them.\n\nMelia is one particularly valuable apple.\n\nBut he didn’t appear from nowhere.\n\nBy May 2025, 261 players had passed through the St Pat’s academy. 114 had represented Ireland at underage level, 84 had reached senior first-team football somewhere and 28 had played for Pat’s themselves.\n\nThe coaching numbers are even more revealing.\n\nFAI figures put average academy contact time at around 230 minutes per week. Pat’s were providing approximately 450 minutes at U15 level and 705 at U17, more than three times the national average for their older group. That puts them on par with English Category 3 academies such as Bolton and Preston.\n\nMason Melia wasn’t produced because somebody in Inchicore discovered a magic cone drill.\n\nThey gave players more time to get better.\n## **Development Doesn’t Mean Starting Kids Every Friday**\n\n\n![](img/articles/grow-your-own-why-loi-clubs-must-back-the-academy/5a13172b-b3e6-4441-ae87-74c6e60e2fa7-120-55fd7b.webp)\n\nThis is where academy conversations can get a little silly.\n\nInvesting in young players doesn’t mean a manager should reach a relegation six-pointer and throw three 17-year-olds into the starting XI because somebody upstairs has discovered the phrase “player trading model”.\n\nManagers still have to win football matches.\n\nSenior football for an academy graduate doesn’t necessarily have to come at his parent club either.\n\nLoans matter. First Division football matters. Twenty-five proper senior games can be worth considerably more than another year being brilliant at underage level.\n\nVinnie Leonard is probably the best example of what the pathway can look like when it works.\n\nBefore Ireland went to the 2025 U17 World Cup, that squad had accumulated more than 13,000 senior club minutes between them. Leonard alone accounted for just over 3,000, nearly a quarter of the total. He made his Dundalk league debut in October 2024, became an important part of their 2025 First Division promotion campaign, was named in the PFAI Team of the Year and then earned a move to Norwich City.\n\nNot to mention his academy teammate, Sean Keogh, who was picked up by Brighton while Dundalk were in the First Division, earning the Louth Side around €150,000. He has since helped Brighton win the U21 Premier League title.\n\nThat’s the pathway clubs should be trying to build.\n\nAcademy football. Senior minutes. Proper responsibility. Performance. Then, if the player is good enough and the contract is right, a transfer.\n\nAnd Leonard did most of that in the First Division. You don’t need to throw a teenager into a title race or Europe to develop him. Sometimes a promotion battle in Louth is more useful than another season being the best player in the under-20s.\n\nThat bridge between academy and first team should be part of the investment.\n\nOtherwise you can spend six years developing somebody, get him to 18 and suddenly realise nobody has worked out what happens next.\n\nAnd Ireland has plenty of catching up to do before that stage anyway.\n\nThe Government-backed Double Pass audit found only 4% of League of Ireland clubs had a full-time head of coaching, compared with 46% among clubs in comparable football nations. Not one LOI club had four or more full-time academy coaches. Among the benchmark countries, 36% did.\n\nOnly 23% of Irish academies had access to indoor facilities, against between 61% and 81% internationally. Comparable countries were also giving U16 to U21 players around two extra training sessions every week.\n\nWe’re already producing €2 million footballers from that.\n\nYou’d have to wonder what happens when the structures actually catch up.\n## **This Isn’t Just A Dublin Thing**\n\n\n![](img/articles/grow-your-own-why-loi-clubs-must-back-the-academy/d6e6ea78-89a5-484d-9994-2d013c8877e0-162-b9c540.webp)\n\nThe easy response is that Shamrock Rovers and St Pat’s can afford all of this.\n\nThey’re in Dublin, have huge recruitment areas and are operating towards the top end of Irish football.\n\nSo look at Sligo.\n\nOwen Elding joined Sligo Rovers as a 12-year-old. In 2025 he scored 16 goals in 38 games in all competitions, including 12 in the league, won PFAI Young Player of the Year and was named Sligo’s Player of the Year. His league goals were vital as Rovers stayed up.\n\nThen Hibernian bought him.\n\nSligo described the deal as an initial significant six-figure sum, with the potential to rise to seven figures, while a sell-on clause means they could benefit again.\n\nThat’s the bit clubs should really notice.\n\nElding didn’t just make Sligo money when he left.\n\nHe gave them goals first.\n\nAn academy graduate can help keep you up, win promotion or get you into Europe before anybody writes the cheque.\n\nThen, if you’ve got the contract right, you get paid too.\n\nQuite a useful employee.\n## **So Where Does The Next €100,000 Go?**\n\n\n![](img/articles/grow-your-own-why-loi-clubs-must-back-the-academy/c85e45a5-0cb6-4df7-b83b-0524bc45ec52-640-35a837.webp)\n\nThis is why the timing feels different.\n\nBudget 2026 provided €3 million in multi-annual Government funding for League of Ireland academies. Yet the FAI had asked for €4.45 million, arguing that would allow every academy to employ at least three full-time staff.\n\nIts longer-term ambition went further again, towards significantly greater annual investment and academies eventually generating enough transfer income to help fund themselves.\n\nIn other words, Irish football is starting to plant the tree.\n\nThe question now is whether clubs keep watering it.\n\nNobody is suggesting they stop signing experienced footballers. If you’re bottom in September, the 32-year-old centre-half with 300 senior appearances might be considerably more useful than an academy presentation telling you about 2029.\n\nSometimes that signing keeps you up.\n\nBut when the next €100,000 becomes available, the conversation shouldn’t automatically begin and end with the first-team squad.\n\nCould it hire another coach? Increase contact hours? Improve facilities? Fund loans? Help regional players travel? Put longer contracts around the best prospects? Develop a player education programme?\n\nNone of those will have supporters refreshing Twitter at 11pm waiting for an announcement video.\n\nBut neither did the work that produced Melia.\n\nThere will be academy players who never make their club a cent. There will be mistakes, late developers and teenagers who leave for Europe before clubs see much return.\n\nThat’s football.\n\nBut Melia, Ozhianvuna and Elding are showing what happens when it does work.\n\nSo by all means, sign the 34-year-old midfielder coming home if he makes your team better.\n\nJust don’t spend every spare euro making Friday night slightly easier and then wonder five years later why somebody else is selling the next €2 million footballer.",James Callan,,,2026-09-02T11:06,,TOUCHLINE STUDIOS,https://jamescallan3.substack.com/p/grow-your-own-why-loi-clubs-must
watch-here-rory-finneran-notts-county-debut,2026-08-31,ABROAD,Watch Here: Rory Finneran's Notts County Debut,The 18 year old joined Notts County on loan from Newcastle last week.,[link text](https://x.com/EireVideos/status/2094004363932946920?ref_src=twsrc%5Etfw)\nthis is a test,Jack Deane,,rory-finneran,,,,
league-preview-derry-city-v-shamrock-rovers,2026-08-30,LEAGUE OF IRELAND,Derry City vs Shamrock Rovers,Can Derry bounce back from last weeks defeat to Bohs?,"**Derry City team news** \nDerry go into this one bruised after a 5-3 defeat away to Bohemians at Dalymount Park. Michael Duffy opened the scoring in the 34th minute and added a stoppage time penalty but Derry conceded five, including a Ross Tierney brace. \nJames Clarke was sent off, so Derry will be without him for this one. \nTyler Smith also got on the scoresheet on Friday and offers another attacking outlet.\nThe defeat leaves Derry 7th, with Waterford breathing down their neck in 8th, just a point back after beating St. Pat's.\n\n **Shamrock Rovers form** \nRovers arrive as league leaders, four points clear of second placed St. Pat's, and with two games in hand still to play, this trip to Derry and a meeting with Shelbourne in Tallaght next Friday.\nThey're unbeaten in six **league** games, but they have lost their last 4 matches, a 5-1 defeat to Egnatia in Europa League qualifyibg, a 3-2 defeat to St. Pat's in the cup, and a 1-1 draw then a 1-0 loss over the two legs to Finland's KuPS, knocking them out of Europe.\n\nThe match kicks off at 4pm at the Brandywell, and you can watch the match live on loitv.",Jack Deane,,,2026-08-30T16:00,,,
