club,lat,lon,town
Athlone Town,53.427524606,-7.919147015,Athlone
Barnet,51.602622431,-0.291717052,London
Benfica U19,,,
Blackburn Rovers,53.728578814,-2.489207983,"Blackburn, Lancashire"
Bohemian FC,53.361885299,-6.275070906,Dublin
Bray Wanderers,53.205708041,-6.102690697,Bray
Brentford,51.490729000,-0.288884000,"Brentford, Middlesex"
Brighton & Hove Albion,50.861579551,-0.083642006,"Falmer, East Sussex"
Brighton & Hove Albion U21,50.830515394,-0.310798525,"Lancing, West Sussex"
Bristol City,51.440122578,-2.620278150,Bristol
Burnley U21,53.692918860,-2.694501579,"Leyland, Lancashire"
Burton Albion,52.821911043,-1.626877785,"Burton-upon-Trent, Staffordshire"
Cardiff City,51.472829314,-3.203115455,Cardiff (Caerdydd)
Celtic,55.849719363,-4.205580354,Glasgow
Charlton Athletic,51.486507384,0.036435127,London
Cliftonville,54.619518177,-5.947270095,Belfast
Cork City,51.885590794,-8.467841148,Cork
Cosenza,39.079253732,17.116672397,Crotone
Derby County,52.914904941,-1.447230130,Derby
Derry City,54.990707986,-7.336254716,Derry (Londonderry)
Doncaster Rovers,53.509820635,-1.113757789,"Doncaster, South Yorkshire"
Drogheda United,53.723370533,-6.357307434,Drogheda
Dundalk,53.998950181,-6.416589618,Dundalk
Dundee United,56.474708794,-2.969014943,Dundee
Erzurumspor FK,39.911164059,41.237976551,Erzurum
Everton,53.424981480,-3.002691341,"Liverpool, Merseyside"
FC Liefering,47.816293982,12.998183370,Wals-Siezenheim
Ferencvaros,47.475514128,19.095286153,Budapest
Finn Harps,54.797963665,-7.778674364,Ballybofey
Fleetwood Town Academy,,,
Francs Borains,50.413515544,3.779329062,Boussu
Galway United FC,53.284709881,-9.056307077,Galway
Gillingham,51.384236275,0.560730547,"Gillingham, Kent"
Göztepe,38.397034000,27.075879000,İzmir
Hibernian,55.961782474,-3.165311068,Edinburgh
Hull City,53.746239635,-0.367639661,Hull
Ipswich Town,52.054949657,1.145263016,"Ipswich, Suffolk"
Kaiserslautern,49.434711593,7.776432037,Kaiserslautern
Lecce,40.365103138,18.208851814,Lecce
Levski Sofia,42.705303512,23.363172412,Sofia
Lincoln City,53.218342848,-0.540904999,"Lincoln, Lincolnshire"
Luton Town,51.884226600,-0.431782007,"Luton, Bedfordshire"
Millwall,51.485933664,-0.050959289,London
Molde,62.734050390,7.148151398,Molde
Monaco U19,,,
Motherwell,55.780377351,-3.980151415,Motherwell
Newcastle United U21,55.009830814,-1.563733220,Newcastle upon Tyne
Nottingham Forest U21,52.759320893,-1.242447495,"Loughborough, Leicestershire"
Notts County,52.942633203,-1.137188226,"Nottingham, Nottinghamshire"
Oxford United,51.716487110,-1.207939535,"Oxford, Oxfordshire"
Peterborough United,52.564692341,-0.240407735,"Peterborough, Cambridgeshire"
Pike Rovers,,,
Preston North End,53.772181168,-2.688431740,Preston
Preston North End U23,,,
Queens Park Rangers,51.509264976,-0.232138485,London
Real Betis,37.417208903,-6.004661322,Sevilla
Shamrock Rovers,53.283529667,-6.373690367,Dublin
Sheffield United,53.370346199,-1.470864415,Sheffield
Shelbourne,53.367512749,-6.251928806,Dublin
Shelbourne U19,,,
Sligo Rovers,54.270061151,-8.487324715,Sligo
Southampton,50.905894751,-1.391047239,"Southampton, Hampshire"
Southampton U18,,,City
St. Mirren,55.850520387,-4.444286227,Paisley
St. Patrick's Athletic,53.340905457,-6.316634417,Dublin
Stoke City,52.988405068,-2.175429761,"Stoke-on-Trent, Staffordshire"
Stoke City U21,52.988405068,-2.175429761,"Stoke-on-Trent, Staffordshire"
Strasbourg,48.560068724,7.755156755,Strasbourg
Sunderland,54.914421504,-1.388177276,Sunderland
Swansea City,51.642770770,-3.934704065,Swansea
Tottenham Hotspur U21,51.889822181,-0.193666220,"Stevenage, Hertfordshire"
UCD,53.310440380,-6.228167117,Dublin
Udinese,46.081644302,13.200062513,Udine
Walsall,52.565390156,-1.990437806,"Walsall, West Midlands"
Waterford FC,52.246196269,-7.124633789,Waterford
Watford,51.649907492,-0.401628613,Watford
West Bromwich Albion,52.509074411,-1.963952333,West Bromwich
Wexford FC,52.365550645,-6.515611402,"Newcastle, Crossabeg"
Wycombe Wanderers,51.630559344,-0.800211579,"High Wycombe, Buckinghamshire"
