slug,name,club,league,tier,pos,age,born,foot,cap_status,senior_caps,senior_goals,senior_debut,youth,eligible,ireland_level,s_apps,s_starts,s_goals,s_assists,s_mins,s_yellow,s_red,c_apps,c_goals,c_assists,injury,locked,notes
james-abankwah,James Abankwah,Watford,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
tayo-adaramola,Tayo Adaramola,Crystal Palace,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
millenic-alli,Millenic Alli,St Mirren,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
finn-azaz,Finn Azaz,Middlesbrough,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
robbie-brady,Robbie Brady,Preston North End,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
alan-browne,Alan Browne,Sunderland,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
tom-cannon,Tom Cannon,Sheffield United,,abroad-lower,FWD,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
seamus-coleman,Séamus Coleman,Everton,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
nathan-collins,Nathan Collins,Brentford,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
conor-coventry,Conor Coventry,Charlton Athletic,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
dawson-devoy,Dawson Devoy,Bohemians,League of Ireland,loi,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
matt-doherty,Matt Doherty,Wolverhampton Wanderers,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
shane-duffy,Shane Duffy,Dundalk,League of Ireland,loi,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
jimmy-dunne,Jimmy Dunne,Birmingham City,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
festy-ebosele,Festy Ebosele,Watford,,abroad-lower,MID,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
john-egan,John Egan,Burnley,,abroad-lower,DEF,,,,senior_comp,,,,,Republic of Ireland:tied,Senior,,,,,,,,,,,,,
