slug,date,season,from_club,to_club,fee,market_value,kind,note
victor-ozhianvuna,,26/27,Shamrock Rovers,Arsenal,,,,reported
dan-mcnamara,,26/27,Millwall,Charlton Athletic,,,,reported
david-eguaibor,,26/27,Cove Rangers,Gateshead,,,,reported
callum-cokerill-mollett,,26/27,Tamworth,Leamington,,,,reported
sean-murphy,,26/27,UCD,Shamrock Rovers,,,,reported
sean-murphy,,26/27,Shamrock Rovers,UCD,,,loan,reported
senan-finn,,26/27,Belvedere FC,Bohemian FC,,,,reported
dylan-connolly-athlone,,26/27,Auckland FC,Athlone Town,,,,reported
matthew-harris,,26/27,Killester United,Longford Town,,,,reported
sheikhan-aljabir,,26/27,Shelbourne,Benfica,,,,reported
bosco-grau,,26/27,Douglas Hall,Leganes,,,,reported
sean-keane,,26/27,Dothan United,Hofstra Pride,,,,reported
sean-mcdonald,,26/27,Shamrock Rovers,Conference Carolinas,,,,reported
phoenix-blayney,,26/27,Larne,Arsenal,,,,reported
michael-hulholland,,26/27,Crusaders,Liverpool,,,,reported
mason-ayre,,26/27,Glentoran,Nottingham Forest,,,,reported
cameron-reid,,26/27,Linfield,Charlton Athletic,,,,reported
eamonn-tohill,,26/27,Cliftonville,Middlesbrough,,,,reported
emre-topcu,,26/27,Iskenderunspor,Zonguldak Komurspor,,,,reported
david-eze,,26/27,Manchester City,Manchester United,,,,reported
