slug,name,club,league,tier,pos,ireland_level
aaron-bolger,Aaron Bolger,Galway United FC,League of Ireland,loi,MID,
aaron-brennan,Aaron Brennan,Waterford FC,League of Ireland,loi,MID,
aaron-greene,Aaron Greene,Shamrock Rovers,League of Ireland,loi,FWD,
aaron-keogh,Aaron Keogh,Dundalk,League of Ireland,loi,MID,
aaron-maguire,Aaron Maguire,Tottenham Hotspur,,abroad-lower,GK,U21
adam-banim,Adam Banim,St. Patrick's Athletic,League of Ireland,loi,GK,
adam-brennan,Adam Brennan,Shamrock Rovers,League of Ireland,loi,FWD,U21
adam-deans,Adam Deans,St. Patrick's Athletic,League of Ireland,loi,DEF,
adam-idah,Adam Idah,Celtic,,abroad-lower,FWD,Senior
adam-mcdonnell,Adam McDonnell,Bohemian FC,League of Ireland,loi,MID,
adam-ohalloran,Adam O'Halloran,Galway United FC,League of Ireland,loi,MID,
adam-oreilly,Adam O'Reilly,Derry City,League of Ireland,loi,MID,
ade-solanke,Ade Solanke,Bournemouth,,abroad-lower,DEF,U19
ademipo-odubeko,Ademipo Odubeko,Shelbourne,League of Ireland,loi,FWD,
aidan-gabbidon,Aidan Gabbidon,Sligo Rovers,League of Ireland,loi,DEF,
aidan-keena,Aidan Keena,St. Patrick's Athletic,League of Ireland,loi,FWD,
aidomo-emakhu,Aidomo Emakhu,Millwall,,abroad-lower,FWD,Senior
alan-browne,Alan Browne,Sunderland,,abroad-lower,MID,Senior
alan-reynolds,Alan Reynolds,Bohemian FC,League of Ireland,loi,,
alex-flynn,Alex Flynn,Shelbourne,League of Ireland,loi,MID,
alex-murphy,Alex Murphy,Kaiserslautern,,,DEF,
alex-nolan,Alex Nolan,Sligo Rovers,League of Ireland,loi,FWD,
alex-noonan,Alex Noonan,Shamrock Rovers,League of Ireland,loi,GK,
ali-topcu,Ali Topcu,Shelbourne,League of Ireland,loi,GK,
andrew-moran,Andrew Moran,Preston North End,,abroad-lower,MID,Senior
andrew-omobamidele,Andrew Omobamidele,Nottingham Forest,,abroad-lower,DEF,Senior
andrew-quinn,Andrew Quinn,Drogheda United,League of Ireland,loi,DEF,
anthony-breslin,Anthony Breslin,St. Patrick's Athletic,League of Ireland,loi,MID,
anthony-oconnor,Anthony O'Connor,Galway United FC,League of Ireland,loi,DEF,
aodh-dervin,Aodh Dervin,Dundalk,League of Ireland,loi,MID,
armstrong-oko-flex,Armstrong Oko-Flex,Levski Sofia,,,FWD,
barry-cotter,Barry Cotter,Derry City,League of Ireland,loi,DEF,
ben-mahon,Ben Mahon,Shamrock Rovers,League of Ireland,loi,FWD,
ben-mccormack,Ben McCormack,Bray Wanderers,League of Ireland,loi,MID,U19
ben-quinn,Ben Quinn,Portadown,NIFL Premiership,abroad-lower,FWD,U21
billy-canny,Billy Canny,St. Patrick's Athletic,League of Ireland,loi,DEF,
