tm_id,name,club,nat1,nat2,age,position,market_value,tracked
35416,David McGoldrick,Mansfield Town,Ireland,England,38,,€25k,yes
48226,Sam Foley,Chester FC,Ireland,England,39,,€25k,yes
62640,James Collins,Lincoln City,Ireland,England,35,,€100k,
68327,Jay O'Shea,Without ClubWithout Club,Ireland,Australia,38,,€200k,yes
68333,Padraig Amond,Waterford FC,Ireland,,38,,€50k,yes
68390,Séamus Coleman,Without ClubWithout Club,Ireland,,37,,€200k,yes
70019,Seamus Conneely,Accrington Stanley,Ireland,England,38,,€25k,
80339,Graham Carey,Livingston FC,Ireland,,37,,€25k,yes
85706,Enda Stevens,Shamrock Rovers,Ireland,,36,,€75k,yes
85935,James McClean,Derry City,Ireland,Northern Ireland,37,,€100k,yes
92488,Paddy Madden,Bohemian Football Club,Ireland,,36,,€25k,yes
96297,Chris Shields,Linfield FC,Ireland,,35,,€50k,
111114,Kevin Long,Waterford FC,Ireland,,36,,€150k,yes
118244,Sean McGinty,Montrose FC,Ireland,England,33,,€10k,
118535,Will Keane,Without ClubWithout Club,Ireland,England,33,,€300k,yes
119269,Shane Duffy,Without ClubWithout Club,Ireland,Northern Ireland,34,,€350k,yes
119574,Joe Shaughnessy,Newcastle United Jets,Ireland,England,34,,€100k,
121324,John Egan,Hull City,Ireland,,52,,€1.00m,yes
121393,Anthony O'Connor,Galway United FC,Ireland,,33,,€100k,yes
121536,Neill Byrne,Doncaster Rovers,Ireland,,33,,€50k,
122407,Aaron Greene,Shamrock Rovers,Ireland,,36,,€50k,yes
122736,Paddy Barrett,Shelbourne FC,Ireland,,33,,€175k,yes
128229,Robbie Brady,Without ClubWithout Club,Ireland,,34,,€100k,yes
130478,Cian Bolger,Without ClubWithout Club,Ireland,England,34,,€10k,
136179,Jimmy Keohane,Galway United FC,Ireland,,35,,€75k,yes
137591,Ryan Brennan,Drogheda United FC,Ireland,,34,,€50k,yes
138473,Aaron McCarey,Portadown FC,Ireland,,34,,€100k,
138783,Scott Hogan,Without ClubWithout Club,Ireland,England,34,,€150k,yes
148907,Sean Murray,Ballymena United FC,Ireland,England,32,,€50k,
148957,Carl McHugh,Sligo Rovers,Ireland,,33,,€275k,yes
154260,Stephen Walsh,Galway United FC,Ireland,,35,,€50k,yes
158623,Cyrus Christie,Bolton Wanderers,Ireland,England,33,,€125k,
158951,Pat Hoban,Glentoran FC,Ireland,,35,,€100k,
167264,Aaron McEneff,Glentoran FC,Ireland,Northern Ireland,31,,€300k,
171679,Matt Doherty,Sheffield United,Ireland,,53,,€1.00m,yes
173592,John O'Sullivan,Without ClubWithout Club,Ireland,,32,,€75k,yes
175740,Joe Rafferty,Rotherham United,Ireland,England,32,,€200k,
177892,Graham Burke,Shamrock Rovers,Ireland,,32,,€250k,yes
178067,Stephen McLaughlin,Mansfield Town,Ireland,,36,,€50k,
178139,Daryl Horgan,Dundalk FC,Ireland,,34,,€100k,yes
180497,Chris Forrester,St. Patrick's Athletic,Ireland,,33,,€100k,yes
181348,Robbie Benson,Without ClubWithout Club,Ireland,,34,,€50k,
181349,Keith Buckley,Dundalk FC,Ireland,,34,,€50k,yes
183162,Colm Horgan,Without ClubWithout Club,Ireland,,32,,€50k,yes
183166,Ian Lawlor,Crewe Alexandra,Ireland,,31,,€75k,
183167,Darragh Lenihan,Without ClubWithout Club,Ireland,,87,,€500k,yes
183170,Kealan Dillon,Dungannon Swifts FC,Ireland,,32,,€175k,
183172,Pierce Sweeney,Cheltenham Town,Ireland,,31,,€200k,yes
183299,Callum Robinson,Cardiff City,Ireland,England,76,,€700k,
184007,Rory Gaffney,Shamrock Rovers,Ireland,,36,,€75k,yes
184670,Sean Gannon,Shelbourne FC,Ireland,,35,,€75k,yes
185264,Garbhan Coughlan,Cashmere Technical FC,Ireland,,33,,€250k,
185571,Ciarán Coll,Strabane Athletic FC,Ireland,,35,,€25k,yes
188539,John Mountney,Glenavon FC,Ireland,,33,,€25k,
192282,Daniel O'Reilly,Partick Thistle FC,Ireland,,31,,€175k,
200956,Danny Rogers,St. Patrick's Athletic,Ireland,United States,32,,€100k,yes
204401,Conor O'Keeffe,Dundalk FC,Ireland,,32,,€100k,yes
209291,Jack Bonham,Bolton Wanderers,Ireland,England,32,,€225k,
217752,Lee Steacy,Shamrock Rovers,Ireland,,33,,€50k,yes
217757,Jack Byrne,Shamrock Rovers,Ireland,,96,,€400k,yes
220496,Charles Dunne,Without ClubWithout Club,Ireland,England,33,,€100k,
222740,Kieran Sadlier,Sporting Club Jacksonville,Ireland,England,31,,€150k,
224799,Anto Breslin,St. Patrick's Athletic,Ireland,,29,,€150k,yes
224816,Danny Kane,Cashmere Technical FC,Ireland,,29,,€125k,
232068,Michael Duffy,Derry City,Ireland,Northern Ireland,32,,€275k,
242606,Josh Cullen,Burnley FC,Ireland,England,18,,€4.00m,yes
249879,Sean Hoare,St. Patrick's Athletic,Ireland,,32,,€150k,yes
251822,Adam McDonnell,Bohemian Football Club,Ireland,,29,,€125k,yes
251838,Dylan Connolly,Galway United FC,Ireland,,31,,€125k,yes
252881,Lee Desmond,Sacramento Republic FC,Ireland,,31,,€150k,
252986,Liam Kelly,Peterborough United,Ireland,England,30,,€300k,yes
255626,Conor Shaughnessy,Portsmouth FC,Ireland,,63,,€800k,
255679,Callum O'Dowda,Ferencvárosi TC,Ireland,England,61,,€900k,yes
261902,Rob Cornwall,Dundalk FC,Ireland,,31,,€100k,yes
262300,Ryan Manning,Southampton FC,Ireland,,29,,€2.80m,yes
264176,Liam Bossin,Feyenoord Rotterdam,Ireland,Belgium,30,,€350k,
264193,Dan Cleary,Shamrock Rovers,Ireland,,30,,€300k,yes
264206,Jake Mulraney,Shamrock Rovers,Ireland,,30,,€275k,yes
265132,Kevin Toner,Without ClubWithout Club,Ireland,,30,,€100k,
270221,Dan Casey,Wycombe Wanderers,Ireland,,94,,€450k,
277697,Alan Browne,Sunderland AFC,Ireland,,33,,€2.00m,yes
280982,Eoghan O'Connell,Stockport County,Ireland,,97,,€400k,yes
288323,Marcus Harness,Huddersfield Town,Ireland,England,73,,€750k,
289791,Kieran O'Hara,Dundee FC,Ireland,England,30,,€100k,
291115,Rory Hale,Cliftonville FC,Ireland,Northern Ireland,29,,€250k,
292139,Sammie Szmodics,Derby County,Ireland,Hungary,22,,€3.50m,yes
293779,Zack Elbouzedi,St. Patrick's Athletic,Ireland,Libya,28,,€225k,yes
293782,JJ Lunney,Shelbourne FC,Ireland,,28,,€125k,yes
293783,Daniel Mandroiu,Shamrock Rovers,Ireland,Romania,27,,€250k,yes
293784,Conor Masterson,Without ClubWithout Club,Ireland,,27,,€175k,yes
296582,Max O'Leary,West Bromwich Albion,Ireland,England,34,,€2.00m,yes
297257,Mikey Johnston,West Bromwich Albion,Ireland,Scotland,19,,€4.00m,yes
307513,Gary O'Neill,Shamrock Rovers,Ireland,,31,,€125k,yes
315385,Darragh Markey,Derry City,Ireland,,29,,€150k,yes
315984,Michael Kelly,Without ClubWithout Club,Ireland,,30,,€75k,
316554,Ryan Delaney,Oldham Athletic,Ireland,,29,,€100k,yes
320403,Mark Sykes,Millwall FC,Ireland,Northern Ireland,37,,€1.80m,yes
324493,Stephen Mallon,Glenavon FC,Ireland,Northern Ireland,27,,€50k,
325206,Darragh Leahy,Linfield FC,Ireland,,28,,€150k,
325214,Corey O'Keeffe,Barnsley FC,Ireland,England,85,,€550k,
325216,Anthony Scully,Without ClubWithout Club,Ireland,England,27,,€125k,yes
337787,Connor Ronan,Aberdeen FC,Ireland,England,47,,€1.20m,yes
340918,Caoimhín Kelleher,Brentford FC,Ireland,,2,,€28.00m,yes
340920,Trevor Clarke,Dundalk FC,Ireland,,28,,€125k,yes
340921,Jake Doyle-Hayes,Exeter City,Ireland,,27,,€350k,
342184,Ronan Doherty,Larne FC,Ireland,,30,,€75k,
343599,Mark Coyle,Coleraine FC,Ireland,,29,,€75k,
344107,Jamie McGrath,Hibernian FC,Ireland,,48,,€1.20m,
345282,Ronan Coughlan,Fleetwood Town,Ireland,,29,,€100k,
347666,Ryan Sweeney,Mansfield Town,Ireland,England,98,,€400k,
349712,Graham Kelly,Crusaders FC,Ireland,,28,,€10k,
351071,Ryan Johansson,Preußen Münster,Ireland,Luxembourg,25,,€350k,yes
357656,Jayson Molumby,West Bromwich Albion,Ireland,,23,,€3.50m,yes
357658,Mark Travers,Everton FC,Ireland,,26,,€3.00m,yes
357661,Thomas O'Connor,Peterborough United,Ireland,,88,,€500k,yes
357671,Tyreke Wilson,Dundalk FC,Ireland,,26,,€175k,yes
363880,Patrick McClean,Derry City,Ireland,Northern Ireland,29,,€125k,yes
363882,Ronan Curtis,Plymouth Argyle,Ireland,England,30,,€200k,
364024,Paudie O'Connor,Reading FC,Ireland,,78,,€650k,
365180,Lee Grace,Shamrock Rovers,Ireland,,33,,€100k,yes
365201,Dylan Watts,Shamrock Rovers,Ireland,,29,,€250k,yes
365202,Daire O'Connor,Carrick Rangers FC,Ireland,,29,,€125k,yes
366681,Lee O'Connor,Tranmere Rovers,Ireland,,26,,€200k,
376252,Shane McLoughlin,Cambridge United,Ireland,United States,29,,€175k,
377180,Conor Keeley,Drogheda United FC,Ireland,,28,,€250k,yes
379347,Sean Boyd,Shelbourne FC,Ireland,,28,,€150k,yes
382686,Conor McCarthy,Northampton Town,Ireland,,28,,€275k,
385396,Ryan Nolan,Linfield FC,Ireland,,27,,€100k,yes
385704,Jason McClelland,St. Patrick's Athletic,Ireland,,29,,€150k,yes
386148,Joe Quigley,Bristol Rovers,Ireland,England,29,,€100k,
391788,CJ Hamilton,Blackpool FC,Ireland,England,31,,€300k,
392591,Chiedozie Ogbene,Ipswich Town,Ireland,Nigeria,20,,€4.00m,yes
392860,Simon Power,St. Patrick's Athletic,Ireland,,28,,€150k,yes
393284,Emmanuel Osadebe,Sutton United,Ireland,England,29,,€75k,yes
396174,Jimmy Dunne,Queens Park Rangers,Ireland,Northern Ireland,14,,€5.00m,yes
401320,Dara O'Shea,Ipswich Town,Ireland,,7,,€16.00m,yes
401323,Aidan Keena,St. Patrick's Athletic,Ireland,,27,,€250k,yes
403437,Ciarán Kelly,Bristol Rovers,Ireland,,28,,€200k,yes
419025,Conor Coventry,Charlton Athletic,Ireland,England,35,,€2.00m,yes
425800,Jordan Shipley,Cheltenham Town,Ireland,England,28,,€250k,yes
426355,Mikey Place,Carrick Rangers FC,Ireland,,28,,€150k,
428901,Aaron Molloy,Lexington SC,Ireland,,29,,€350k,
428907,Mark Doyle,Drogheda United FC,Ireland,,27,,€225k,yes
429247,Conor Kane,Drogheda United FC,Ireland,,27,,€200k,yes
433329,Corrie Ndaba,US Lecce,Ireland,Ghana,62,,€900k,yes
433842,Tom Field,Vancouver FC,Ireland,England,29,,€175k,
434205,Brian Maher,Derry City,Ireland,,25,,€175k,yes
434207,Aaron Connolly,Leyton Orient,Ireland,,38,,€1.80m,
434216,Aaron Bolger,Galway United FC,Ireland,,26,,€125k,yes
434217,Ryan Burke,Bohemian Football Club,Ireland,,25,,€125k,yes
434218,Joe Redmond,St. Patrick's Athletic,Ireland,,26,,€350k,yes
434221,Kameron Ledwidge,Shelbourne FC,Ireland,,25,,€200k,yes
434223,Adam Idah,Swansea City,Ireland,Nigeria,17,,€4.50m,yes
434244,Jordan Doherty,Livingston FC,Ireland,,25,,€150k,yes
437573,James Brown,St. Patrick's Athletic,Ireland,,28,,€250k,yes
437603,Conor Kearns,Dundalk FC,Ireland,,28,,€175k,yes
437874,Kevin O'Toole,New York City FC,Ireland,United States,49,,€1.20m,
438985,Paul Doyle,Dungannon Swifts FC,Ireland,,28,,€50k,
438987,Killian Brouder,Galway United FC,Ireland,,28,,€150k,yes
439497,Liam Scales,Celtic FC,Ireland,,15,,€5.00m,yes
444208,Michael Obafemi,Burnley FC,Ireland,Nigeria,80,,€600k,
444209,Jonathan Afolabi,Shamrock Rovers,Ireland,Nigeria,26,,€200k,yes
444211,Will Smallbone,Without ClubWithout Club,Ireland,England,24,,€3.50m,yes
449020,Warren O'Hora,Hibernian FC,Ireland,,86,,€550k,
451942,Sam Todd,Bohemian Football Club,Ireland,,28,,€175k,yes
458178,Jack Taylor,Ipswich Town,Ireland,England,27,,€3.00m,yes
458633,Tunmise Sobowale,Shamrock Rovers,Ireland,Nigeria,27,,€300k,yes
466106,Aaron Drinan,Swindon Town,Ireland,,89,,€500k,
469050,Nathan Collins,Brentford FC,Ireland,,1,,€30.00m,yes
469064,Gavin Kilkenny,Swindon Town,Ireland,,26,,€350k,
469065,Brandon Kavanagh,Drogheda United FC,Ireland,,25,,€200k,yes
470882,Fuad Sule,Ballymena United FC,Ireland,Nigeria,29,,€150k,
478712,Ed McGinty,Shamrock Rovers,Ireland,Scotland,27,,€300k,yes
480723,Finn Azaz,Southampton FC,Ireland,England,4,,€20.00m,yes
482801,Ruari Paton,St. Johnstone FC,Ireland,,26,,€225k,yes
490854,Barry Cotter,Derry City,Ireland,,27,,€275k,yes
491216,John Mahon,Waterford FC,Ireland,,26,,€125k,yes
491578,Neil Farrugia,Dundee United FC,Ireland,France,27,,€125k,
491629,Dayle Rooney,Bohemian Football Club,Ireland,,28,,€200k,yes
498175,Aodh Dervin,Dundalk FC,Ireland,,27,,€125k,yes
503975,Joe Hodge,Motherwell FC,Ireland,England,77,,€700k,yes
504115,John Martin,Shelbourne FC,Ireland,,27,,€225k,yes
504856,Will Ferry,Dundee United FC,Ireland,England,50,,€1.20m,yes
505548,Louie Watson,Crawley Town,Ireland,England,25,,€125k,
505657,Tyreik Wright,Bradford City,Ireland,,24,,€350k,
524210,Sean McLoughlin,Blackburn Rovers,Ireland,,74,,€750k,
530780,Jason Knight,Bristol City,Ireland,,11,,€7.00m,yes
531461,Armstrong Oko-Flex,Levski Sofia,Ireland,England,54,,€1.00m,yes
532195,Joshua Kayode,Without ClubWithout Club,Ireland,Nigeria,26,,€100k,yes
532460,Shane Blaney,Livingston FC,Ireland,,27,,€275k,
535632,David Hurley,Galway United FC,Ireland,,27,,€150k,yes
535670,Colm Whelan,Bohemian Football Club,Ireland,,26,,€225k,yes
535785,Ryan Graydon,Salford City,Ireland,,27,,€300k,
535927,Luke McNally,Bristol City,Ireland,,36,,€2.00m,
536530,Barry Coffey,Hartford Athletic,Ireland,,25,,€100k,
